,mean,variance,std
"$b_{E_1,1}$ [MPa]",-3839.803904498401,484844.5586835476,696.3078045545286
"$b_{E_1,2}$ [MPa]",934.5406578010384,471715.8278840536,686.8157161015272
"$b_{E_1,3}$ [MPa]",2471.3519232795925,457782.07225079223,676.5959446012016
"$b_{E_1,4}$ [MPa]",811.4906854965585,369686.3484642506,608.0183783934912
"$b_{E_1,5}$ [MPa]",-1964.0404016567775,417488.8985263713,646.1338085306876
"$b_{E_1,6}$ [MPa]",-575.9932709577794,429060.7426114799,655.0272838679927
"$b_{E_1,7}$ [MPa]",-1764.1013078461426,499522.1009964165,706.7687747746193
"$b_{E_1,8}$ [MPa]",777.3909476704199,457004.2885398874,676.0209231524476
