,mean,variance,std
$\beta$ [mm/kN],0.007684872081326307,1.699772954238532e-07,0.00041228302829955687
$\sigma_{\eta}$ [mm],0.014087813096749923,4.6151122313431035e-06,0.0021482812272472854
"$\lambda_{\eta,P}$ [kN]",15.084606940999878,5.029360455341708,2.242623565233744
"$\lambda_{\eta,\alpha}$ [rad]",2.045963855265708,0.04317643074286479,0.20778939035202157
"$\lambda_{\eta,E_1}$ [MPa]",70590.07252686024,127577256.78790084,11295.010260637253
"$\lambda_{\eta,E_2}$ [MPa]",19877.407725890498,48855933.00369154,6989.701925239126
"$\lambda_{\eta,v_{12}}$ [-]",1.2260741793998435,0.24135132399885098,0.4912752018969113
"$\lambda_{\eta,v_{23}}$ [-]",1.3262727399942638,0.25807263470508235,0.508008498654385
"$\lambda_{\eta,G_{12}}$ [GPa]",9357.650863846433,11000599.583372211,3316.7151797180613
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],2.7371206799856078e-05,4.1914307557029953e-10,2.047298404166573e-05
