,mean,variance,std
"$b_{E_1,1}$ [MPa]",-3705.5417311373367,502365.3984205056,708.7773969452649
"$b_{E_1,2}$ [MPa]",1015.661014442513,486756.1637057228,697.6791266088751
"$b_{E_1,3}$ [MPa]",2438.1899865571736,470978.26450364746,686.2785618855127
"$b_{E_1,4}$ [MPa]",-2653.6283635025416,547193.3873875467,739.7252107286507
"$b_{E_1,5}$ [MPa]",-3.474380161132716,513030.4051702005,716.2614084049206
