,mean,variance,std
$\beta$ [mm/kN],0.007593747569170424,1.6413233046700308e-07,0.0004051324850798848
$\sigma_{\eta}$ [mm],0.013388565599089968,4.1413393753469556e-06,0.002035028101856816
"$\lambda_{\eta,P}$ [kN]",14.801140545804914,5.017456743588178,2.2399680228941166
"$\lambda_{\eta,\alpha}$ [rad]",1.99188243915804,0.042979088938201286,0.20731398635451803
"$\lambda_{\eta,E_1}$ [MPa]",72913.02535906258,144791435.83485433,12032.931306828537
"$\lambda_{\eta,E_2}$ [MPa]",19557.323897596347,50964990.16973302,7138.976829331568
"$\lambda_{\eta,v_{12}}$ [-]",1.215124816217164,0.22741063674975623,0.4768759133671528
"$\lambda_{\eta,v_{23}}$ [-]",1.3159814181541638,0.2545192993797048,0.5044990578580943
"$\lambda_{\eta,G_{12}}$ [GPa]",8957.113591445112,10376561.371139513,3221.267044369267
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],7.244245179392442e-05,2.3711902076014065e-09,4.8694868390841825e-05
