,mean,variance,std
$\beta$ [mm/kN],0.007593287930867725,1.6691423993462944e-07,0.0004085513920360931
$\sigma_{\eta}$ [mm],0.013137190811679975,3.840111568136459e-06,0.0019596202612078848
"$\lambda_{\eta,P}$ [kN]",13.549975647912541,4.475417380638482,2.115518229805284
"$\lambda_{\eta,\alpha}$ [rad]",2.005018646749466,0.03459370291180015,0.18599382492921682
"$\lambda_{\eta,E_1}$ [MPa]",67977.91536130801,134434812.35520875,11594.602725199718
"$\lambda_{\eta,E_2}$ [MPa]",19343.942227912,47465775.84240294,6889.541047297922
"$\lambda_{\eta,v_{12}}$ [-]",1.0221104543048176,0.18574561060801895,0.4309821465072758
"$\lambda_{\eta,v_{23}}$ [-]",1.2718456670934288,0.25270560716065693,0.5026983261963948
"$\lambda_{\eta,G_{12}}$ [GPa]",9189.198017378794,11123824.4214446,3335.2397846998347
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.6454786556905884e-05,7.858345706064261e-10,2.8032741046969097e-05
