,mean,variance,std
"$b_{\alpha,1}$ [deg]",0.4682146313363469,0.16184238479173793,0.40229638923527256
"$b_{\alpha,2}$ [deg]",-0.4354627310311247,0.17547085507557145,0.418892414678962
"$b_{\alpha,3}$ [deg]",-1.2164067801229528,0.1619316596066434,0.40240733045838445
"$b_{\alpha,4}$ [deg]",1.0098069068403026,0.29837281804813537,0.546235130734133
"$b_{\alpha,5}$ [deg]",1.5719235978546127,0.29946562127197696,0.5472345212721662
"$b_{\alpha,6}$ [deg]",1.7975366679166236,0.31429281518965574,0.5606182437181791
