,mean,variance,std
$\beta$ [mm/kN],0.007518366062030348,1.6663220939840877e-07,0.000408206086919841
$\sigma_{\eta}$ [mm],0.012933003034385155,3.631970996423961e-06,0.0019057730705474777
"$\lambda_{\eta,P}$ [kN]",14.85229504616019,5.139532684193962,2.2670537453254083
"$\lambda_{\eta,\alpha}$ [rad]",1.923528732956935,0.04040389356290294,0.20100719778879297
"$\lambda_{\eta,E_1}$ [MPa]",71756.77593392869,142395990.23897895,11932.9791015898
"$\lambda_{\eta,E_2}$ [MPa]",19440.09035785353,48543464.99421314,6967.3140444659975
"$\lambda_{\eta,v_{12}}$ [-]",1.1992285164851553,0.21561413282460448,0.4643426889966122
"$\lambda_{\eta,v_{23}}$ [-]",1.308917472560786,0.2516879324104445,0.5016850928724557
"$\lambda_{\eta,G_{12}}$ [GPa]",8813.885925148916,9449331.106312163,3073.9764322961496
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],4.234419523714884e-05,9.55506800800432e-10,3.0911273037525195e-05
