,mean,variance,std
$\beta$ [mm/kN],0.007545688925127695,1.6510027886196137e-07,0.0004063253362294325
$\sigma_{\eta}$ [mm],0.012871456439087893,3.542809611796229e-06,0.0018822352700436334
"$\lambda_{\eta,P}$ [kN]",13.62780349386016,4.535918628687682,2.1297696186882944
"$\lambda_{\eta,\alpha}$ [rad]",1.9992229019295118,0.032371411288274386,0.17992056938625553
"$\lambda_{\eta,E_1}$ [MPa]",69159.1524554576,135326819.89606628,11633.005626065273
"$\lambda_{\eta,E_2}$ [MPa]",19402.629145686078,48851952.01792938,6989.417144363998
"$\lambda_{\eta,v_{12}}$ [-]",1.119810639623095,0.2074829206873805,0.45550293159032523
"$\lambda_{\eta,v_{23}}$ [-]",1.2939432900044412,0.24276874325450165,0.49271568196527055
"$\lambda_{\eta,G_{12}}$ [GPa]",9088.617100873995,10315947.781814398,3211.844918705509
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.348026983693078e-05,6.123251982248591e-10,2.4745205560367835e-05
